source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Sanoin, että vintti pimeni. Olit kauhuissasi.","['I said, ""Dead out, he was scared shitless.']",I said the attic went dark. You were terrified.,idiomatic,"sanoa , että vintti pimetä . olla kauhu .",['vintti pimetä'],7
"Vintti pimeni ja kunnolla. Kun heräsin, kävelin ulos ja näin silloin ensi kertaa tämän neitokaisen.","['So, I passed out hard, and when I wake up, I go outside, and that is the first time I lay eyes upon this young lady.']","The attic went dark and really dark. When I woke up, I walked out and that's when I saw this lady for the first time.",idiomatic,"vintti pimetä ja kunnolla . kun herätä , kävellä ulos ja nähdä silloin ensi kerta tämä neito#kainen .",['vintti pimetä'],7
"Jos tässä jonkun vintti pimenee - niin sinun, usko pois.","[""If anybody's lights are about to go out, believe me, they're yours.""]","If anyone's attic is going dark here - it's yours, believe me.",idiomatic,"jos tämä joku vintti pimetä - niin sinä , uskoa pois .",['vintti pimetä'],7
Sitten vinttini pimeni.,['And then I...'],Then my winch went black.,idiomatic,sitten vintti pimetä .,['vintti pimetä'],7
Vintti pimeni.,['I blacked out.'],The attic went dark.,idiomatic,vintti pimetä .,['vintti pimetä'],7
"Steve laulaa oksat pois siitä kansallislaulusta nyt, vai mitä Steve?","[""Steve's gonna sing the crap out of that national anthem now, aren't you, Steve?""]","Steve will sing the branches off that national anthem now, won't you Steve?",idiomatic,"Steve laulaa oksa pois se kansallis#laulu nyt , vai mikä Steve ?",['oksa pois'],6
"Oli matti kukkarossa Mutta ei kauan, jos Obama selättää laman.","[""I couldn't afford much, but not for long, if President Obama ends the recession tonight!""]",There was a mate in the purse But not for long if Obama survives the recession.,idiomatic,"olla matti kukkaro mutta ei kauan , jos Obama selättää lama .",['matti kukkaro'],6
Minulla on matti kukkarossa.,['I could never be this broke.'],I have a mate in my purse.,idiomatic,minä olla matti kukkaro .,['matti kukkaro'],6
"On matti kukkarossa, pöljä!","['We are broke, you dumbass!']","There's a mate in the purse, dummy!",idiomatic,"olla matti kukkaro , pöljä !",['matti kukkaro'],6
Omalla kohdallani matti kukkarossa on pieni este.,"['Speaking for myself, bone-crushing poverty is something of a stumbling block.']","In my case, the mate in the purse is a small obstacle.",idiomatic,oma kohta matti kukkaro olla pieni este .,['matti kukkaro'],6
"Kun tulit Los Angelesiin, sinulla ei ollut muuta, kuin matti kukkarossa.","[""You show up to L.A., you got nothin' but your ding-dong in your hands.""]","When you came to Los Angeles, all you had was a mate in your purse.",idiomatic,"kun tulla Los Angeles , sinä ei olla muu , kuin matti kukkaro .",['matti kukkaro'],6
"Anteeksi, mutta heroiinia sisältävä kondomi räjähti vatsassani, niin että koko päivä meni pipariksi!","['Well, excuse me, Kimmy. But a condom full of heroin exploded in my stomach, so this whole day has been for the birds!']","Sorry, but a condom containing heroin exploded in my stomach, so the whole day went to hell!",idiomatic,"anteeksi , mutta hero#iini sisältää kondomi räjähtää vatsa , niin että koko päivä mennä pipari !",['mennä pipari'],6
Suunnitelma kariutui ja meni pipariksi.,['The plan just crashed and burned.'],The plan fell through and went bust.,idiomatic,suunnitelma kariutua ja mennä pipari .,['mennä pipari'],6
Koko homma meni pipariksi! Juokse!,"[""The whole thing's gone in the crapper, kid!""]",The whole thing was a bust! Run!,idiomatic,koko homma mennä pipari ! juosta !,['mennä pipari'],6
Toinenkin yritys meni pipariksi.,"[""-Well, from what I can see, He didn't do a better job the second time.""]",The second attempt was another failure.,idiomatic,toinen yritys mennä pipari .,['mennä pipari'],6
Roger voi tykätä kyttyrää.,['- Roger may take a dim view of this...'],Roger may like the hump.,idiomatic,Roger voida tykätä kyttyrä .,['tykätä kyttyrä'],6
- Ensimmäinen päiväni meni pipariksi.,"['First day on the job, I lead us straight into an ambush.']",- My first day was a bust.,idiomatic,- ensimmäinen päivä mennä pipari .,['mennä pipari'],6
"Yksi kaveri tykkäsi kyttyrää, koska pelkää minun vievän paikkansa.","[""This kid took umbrage at my presence. 'Cause he thinks I'm gonna take his spot.""]",One guy liked the hump because he was afraid I'd take his place.,idiomatic,"yksi kaveri tykätä kyttyrä , koska pelätä minä viedä paikka .",['tykätä kyttyrä'],6
Taidat tykätä kyttyrää.,['- Getting a hint of disapproval.'],I think you like the hump.,idiomatic,taitaa tykätä kyttyrä .,['tykätä kyttyrä'],6
Oletko nähnyt Janen vihaisena? Siinä ovat oksat poissa.,['Have you ever seen Jane in full flight?'],Have you seen Jane angry? There are no branches.,idiomatic,olla nähdä Jane vihainen ? se olla oksa poissa .,['oksa pois'],6
Kohta tänne sataa faneja niin että oksat pois.,"['Gonna be a lot of fans in here soon, yeah.']",It's going to be raining fans in here soon.,idiomatic,kohta tänne sataa fani niin että oksa pois .,['oksa pois'],6
Nousen kohta ylös ja järjestän sellaisen kohtauksen että oksat pois.,"[""Paul, I'm gonna get up and make the biggest scene you can imagine.""]",I'm about to get up and make a scene that'll make your head spin.,idiomatic,nousta kohta ylös ja järjestää sellainen kohtaus että oksa pois .,['oksa pois'],6
"Minun on paras jäädä, etteivät pomot tykkää kyttyrää.","[""Oh, no, I'd better hang around because if I leave now, it looks bad upstairs.""]","I'd better stay, or the bosses won't like the hump.",idiomatic,"minä olla hyvä jäädä , että ei pomo tykätä kyttyrä .",['tykätä kyttyrä'],6
"Anna potkut, jos tykkäät kyttyrää.","[""And if you don't like that, you can just fire me.""]",Fire me if you like the hump.,idiomatic,"antaa potku , jos tykätä kyttyrä .",['tykätä kyttyrä'],6
- Jo alkoi lyyti kirjoittaa.,"[""- Now we're getting somewhere.""]",- Already the lyrics were starting to write.,idiomatic,- jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Älä vedä hernettä nenääsi.,['Give peas a chance. Now come on.'],Don't pull a pea out of your nose.,idiomatic,ei vetää herne nenä .,['vetää herne nenä'],6
- Jo alkaa lyyti kirjoittamaan.,"[""- Well, that's more like it.""]",- The lyrics are already starting to write.,idiomatic,- jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
- No johan alkoi lyyti kirjoittaa.,"[""- Now we're getting someplace.""]","- Well, that's where the writing started.",idiomatic,- no jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Jotkut vetävät herneen nenään.,"[""Some people get pissed off, saying we're taking over.""]",Some people turn a blind eye.,idiomatic,joku vetää herne nenä .,['vetää herne nenä'],6
Jo alkoi Lyyti kirjoittaa.,"[""Now we're getting somewhere.""]","Already, Lyyti started writing.",idiomatic,jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Jo alkoi lyyti kirjoittaa.,"[""Well, now you're singing a tune that we may dance to.""]",Already the lyrics were starting to write.,idiomatic,jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Älä vedä hernettä nenään.,['Keep your knickers on.'],Don't pull a pea out of your nose.,idiomatic,ei vetää herne nenä .,['vetää herne nenä'],6
"Olen kuin täi tervassa, riskien ympäröimä.","[""I'm a fly in the ointment.""]","I'm like a lice in tar, surrounded by risks.",idiomatic,"olla kuin täi terva , riski ympäröimä .",['kuin täi terva'],6
Puolimatkassa Newmar oli jäänyt kuin täi tervaan.,['It was now a race for pride.'],"Halfway there, Newmar had been left like a pile of tar.",idiomatic,puoli#matka Newmar olla jäädä kuin täi terva .,['kuin täi terva'],6
Herra Tuckeria lainatakseni: Olemme kuin täit tervassa.,"[""To quote our very own Mr Tucker, it means we're dead in the water.""]",To quote Mr Tucker: We are like lice in tar.,idiomatic,herra Tuckeri lainattaa : olla kuin täi terva .,['kuin täi terva'],6
Sano että olen sivulla 411 ja etenen kuin täi tervassa.,"[""You can tell him this: I'm on page 411 and I have real problems with it.""]",Tell them I'm on page 411 and I'm going like a lice in a tar pit.,idiomatic,sanoa että olla sivu 411 ja edetä kuin täi terva .,['kuin täi terva'],6
Hän veti herneet nenään.,['He was super pissed.'],He turned up his nose.,idiomatic,hän vetää herne nenä .,['vetää herne nenä'],6
Taisi vetää herneen nenään.,['That pissed her off.'],I think he's pulling a fast one.,idiomatic,taitaa vetää herne nenä .,['vetää herne nenä'],6
"B.A., tiedämme että sinulla on ruista ranteessasi.","[""And B.A. we know you've got the bulk, baby.""]","B.A., we know you've got rye on your wrist.",idiomatic,"B.A. , tietää että sinä olla ruosi ranne .",['ruosi ranne'],5
"B.A., tiedämme että sinulla on ruista ranteessasi.","[""And B.A. we know you've got the bulk, baby.""]","B.A., we know you've got rye on your wrist.",idiomatic,"B.A. , tietää että sinä olla ruosi ranne .",['ruosi ranne'],5
- Hänellä on ruista ranteessa.,['She could do anything. Yeah.'],- He has a rye on his wrist.,idiomatic,- hän olla ruosi ranne .,['ruosi ranne'],5
Siinä oli ruista ranteessa.,"['Ooh, is there stuff on that pitch!']",There was a rye on his wrist.,idiomatic,se olla ruosi ranne .,['ruosi ranne'],5
Tästä ruista ranteeseen!,['Eat your hearts out!'],Here's a rye on the wrist!,idiomatic,tämä ruosi ranne !,['ruosi ranne'],5
Minulla on peukalo keskellä kämmentä.,"[""I'm all thumbs today.""]",I have my thumb in the middle of my palm.,idiomatic,minä olla peukalo keskellä kämmen .,['peukalo keskellä kämmen'],4
"Yritys hyvä kymmenen, vaikka häviäisitte.","['Win or lose, you are giving it your best shot.']","Try a good ten, even if you lose.",idiomatic,"yritys hyvä kymmenen , vaikka hävitä .",['yritys hyvä kymmenen'],4
"Yritys hyvä kymmenen, mutta luulenpa että onnemme loppui.","[""A great ride, friend. But I have a feeling it's about over.""]","A good ten, but I think our luck ran out.",idiomatic,"yritys hyvä kymmenen , mutta luulla että onni loppua .",['yritys hyvä kymmenen'],4
Yritys hyvä kymmenen.,"['Then give him an A for effort, Andy.']",A good ten for the company.,idiomatic,yritys hyvä kymmenen .,['yritys hyvä kymmenen'],4
"Sinulla on peukalo keskellä kämmentä, pappi.","['barrie: You play like a man with ten thumbs, priest.']","You've got your thumb in the middle of your palm, priest.",idiomatic,"sinä olla peukalo keskellä kämmen , pappi .",['peukalo keskellä kämmen'],4
"Mutta yritys hyvä kymmenen, vai mitä?","[""We had a damn good fight, didn't we?""]","But a good ten, right?",idiomatic,"mutta yritys hyvä kymmenen , vai mikä ?",['yritys hyvä kymmenen'],4
Hänellä on peukalo keskellä kämmentä.,['He seems to be all thumbs.'],He has his thumb in the middle of his palm.,idiomatic,hän olla peukalo keskellä kämmen .,['peukalo keskellä kämmen'],4
Darby halusi olla kukkona tunkiolla.,"['Darby, he wanted to be the ruler of the world, you know?']",Darby wanted to be a rooster on a stool.,idiomatic,Darby haluta olla kukkona tunkio .,['kukkona tunkio'],4
Pata kattilaa soimaa.,"[""Yeah? Look who's talking.""]",A pot of boiling pot soup.,idiomatic,pata kattila soida .,['pata kattila soida'],4
-Pata kattilaa soimaa.,['It takes one to know one.'],-Pot of casserole soup.,idiomatic,pata kattila soida .,['pata kattila soida'],4
- Pata kattilaa soimaa.,"[""- Look who's talking.""]",- A pot of boiling pot soup.,idiomatic,- pata kattila soida .,['pata kattila soida'],4
- Pata kattilaa soimaan!,['Double standards!'],- Let's get the kettle on!,idiomatic,- pata kattila soida !,['pata kattila soida'],4
- Kukkona tunkiolla?,"['ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.']",- As a flower on a dunce's nest?,idiomatic,- kukkona tunkio ?,['kukkona tunkio'],4
Et ole enää kukkona tunkiolla.,"[""You ain't king of shit around here no more.""]",You're no longer a rooster on a stool.,idiomatic,ei olla enää kukkona tunkio .,['kukkona tunkio'],4
Hän häärii täällä kukkona tunkiolla.,['He rules the roost around here.'],He's here like a rooster with a tunic.,idiomatic,hän hääriä täällä kukkona tunkio .,['kukkona tunkio'],4
Ja Thomasilla kun on peukalo keskellä kämmentä.,"[""Thomas will be very busy. He's all fingers and thumbs.""]",And Thomas has his thumb in the middle of his palm.,idiomatic,ja Thomas kun olla peukalo keskellä kämmen .,['peukalo keskellä kämmen'],4
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","[""It looks worse than it is, it's just that we have a particular house style.""]","This is not what an emergency looks like, but we use a certain style.",idiomatic,"ei hätä olla tämä näköinen , mutta käyttää tietty tyyli .",['ei hätä olla tämä näköinen'],3
Täällähän eletään kuin pellossa.,['Nasty motherfuckers. Got no goddamned home-training.'],It's like living in a field here.,idiomatic,täällä elää kuin pelto .,['elää kuin pelto'],3
Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia.,"[""You'd be like a pig in a barley field, with no control.""]",No one would be able to control how you spend your money. You could live like a pig in a poke with no control.,idiomatic,ei kukaan pystyä valvoa raha#käyttö . voida elää kuin pelto ilman kontrolli .,['elää kuin pelto'],3
Eukko elää kuin pellossa.,['Whoa. Homegirl clearly never met a trashcan.'],The hen lives like a field.,idiomatic,eukko elää kuin pelto .,['elää kuin pelto'],3
Ei hätä ole tämän näköinen.,"[""-Yeah. Don't worry about it.""]",This is not what an emergency looks like.,idiomatic,ei hätä olla tämä näköinen .,['ei hätä olla tämä näköinen'],3
Et voi lähteä soitellen sotaan avaruusolentoja vastaan.,"[""Fighting Alchemy or Savitar or aliens isn't something you just show up and try.""]",You can't go off to war with aliens.,idiomatic,ei voida lähteä soitella sota avaruus#olento vastaan .,['soitella sota'],3
"Saat käyttöösi tutkia, satelliitteja ja pari lentokonetta. Emme ryntää soitellen sotaan.",['Ground troops are still out.'],"You'll have access to radar, satellites and a couple of planes. We're not rushing off to war.",idiomatic,"saada käyttöösi tutkia , satelliitti ja pari lento#kone . ei ryntää soitella sota .",['soitella sota'],3
Elena lähti soitellen sotaan.,"['She went in with no extraction plan, no idea how to find mack.']",Elena went off to war calling.,idiomatic,Elena lähteä soitella sota .,['soitella sota'],3
"Odota, ei hätä ole tämän näköinen.","[""Just hang tight. It's not that bad.""]","Wait, this is not what an emergency looks like.",idiomatic,"odottaa , ei hätä olla tämä näköinen .",['ei hätä olla tämä näköinen'],3
On kylmä kuin ryssän helvetissä.,"[""Can't tell you. I'm as cold as a witch's tit.""]",It's cold as hell in Russia.,idiomatic,olla kylmä kuin ryssä helvetti .,['kylmä kuin ryssä helvetti'],2
"En halua olla vastarannankiiski, mutta nautin tästä.","[""I think that's the point! I don't mean to be a contrarian, - but I'm enjoying this.""]","I don't want to be a counter-coastal dog, but I'm enjoying this.",idiomatic,"ei haluta olla vasta#rannan#kiiski , mutta nauttia tämä .",['vasta#rannan#kiiski'],2
Kylmä kuin ryssän helvetissä.,"[""Colder than a witch's titty out there.""]",Cold as hell in Russia.,idiomatic,kylmä kuin ryssä helvetti .,['kylmä kuin ryssä helvetti'],2
Miten nenänvalkaisu sujuu?,"[""How's the drying out going?""]",How's the nose bleaching going?,idiomatic,miten nenän#valkaisu sujua ?,['nenän#valkaisu'],2
"Miten sujuu? -Mikä? No liikunta, tupakkalakko, nenänvalkaisu...","['You know: exercise, no smoking, no drinking...']","How's it going? -What? Well, exercise, quitting smoking, bleaching my nose...",idiomatic,"miten sujua ? - mikä ? no liikunta , tupakka#lakko , nenän#valkaisu ...",['nenän#valkaisu'],2
"Ed, olet kuin seipään niellyt.","[""Ed... You're like a stick in the mud over here.""]","Ed, you've swallowed a soapbox.",idiomatic,"Ed , olla kuin seipä niellä .",['kuin seipä niellä'],2
Kuin seipään niellyt.,"['No, not a stuffed fish. A boiled owl.']",As if you had swallowed a breadstick.,idiomatic,kuin seipä niellä .,['kuin seipä niellä'],2
He juoksivat pää kolmantena jalkana.,['They preferred to run.'],They ran with their heads on the third leg.,idiomatic,hän juosta pää kolmas jalka .,['juosta pää kolmas jalka'],2
Sitten juoksette pää kolmantena jalkana luoksemme.,['Then you flock to us. Huh?'],Then you run head third to us.,idiomatic,sitten juosta pää kolmas jalka luos .,['juosta pää kolmas jalka'],2
Minulla ei ole kaikki muumit laaksossa.,"[""You might've noticed I'm a few raisins short of a full scoop.""]",I don't have all the mummies in the valley.,idiomatic,minä ei olla kaikki muumi laakso .,['ei olla kaikki muumi laakso'],2
Hänellä ei ole kaikki muumit laaksossa.,"[""She's not in her right mind.""]",He doesn't have all the mummies in the valley.,idiomatic,hän ei olla kaikki muumi laakso .,['ei olla kaikki muumi laakso'],2
Et enää erota vastarannankiiskejä.,['No more dismissing anyone who disagrees.'],You can no longer tell the difference between the Newfoundlanders.,idiomatic,ei enää erota vasta#rannan#kiiski .,['vasta#rannan#kiiski'],2
